10_v_10_0,والحمد لله.
29_v_29_0,وقت أنا كنت مببتسم اتورطت ما دشر الابتسامه أخبيه ولا أخليه.
29_v_29_1,إحساس مخيف تماما.
29_v_29_2,المرضى بعد العمليات يعني جدا يكونوا مبسوطين.
29_v_29_2 (1),المرضى بعد العمليات يعني جدا يكونوا مبسوطين.
29_v_29_3,إن اللهم لك الحمد والشكر.
2_v_2_0,الله الله الله الله والله كلام حقيقي.
2_v_2_1,أعشق المدرسه.
2_v_2_2,لأني كنت أستعر وأخجل من أني أعترف بالشيء هذا.
2_v_2_3,أنا عن نفسي ارتحت.
2_v_2_4,وقال كلمه هنا خطيره خطيره خطيره جدا.
2_v_2_5,يا الله. والله الكلمه جدا عميقه.
2_v_2_6,نبدأ نشوف وجهم جدا جميل.
2_v_2_7,طبعا هذا جانب جدا جدا جدا إيجابي في الأردن.
2_v_2_8,الحمد لله على كل حال.
2_v_2_9,وبرودي العجيب جدا كان مريحني كنت جدا مبسوط.
30_v_30_0,قهوة لا ه.
30_v_30_1,هي ورطة ورطة.
30_v_30_2,أنا دخلت عن حب أنا حبيت نضيف تضيف جو.
30_v_30_3,صرت مرشد سياحي.
30_v_30_4,بس انت لازم تتعامل مع الحاله اللي قدامك.
31_v_31_0,تقريبا أصعب شيء ممكن يحدث هو انتحار المريض.
31_v_31_1,نعم.
31_v_31_2,بطاقه ما شاء الله.
31_v_31_3,البلدية هتردي من.
32_v_32_1,فجاءني صدمه كبيره وحزن.
32_v_32_2,رجعت حزين جدا لمدة عام.
32_v_32_3,فجأة هجم علي هجمه مرتده تلفظ على أهلي وعلى والدي وعلي شخصيا ودعاء.
32_v_32_4,فكانت حتى الأسلوب كان صراحه مستفز جدا.
33_v_33_0,يعني هذا أسوأ شيء فيها أنه غالب يومك تلقاك على اللعبة.
33_v_33_1,صراحه شي شي متعب.
34_v_34_0,لكني تفاجئت بالضجة التي رافقت الملتقى وحجم السخط الذي رافق الملتقى أحيانا.
34_v_34_1,رأيت كهولا على تكتك والله تفعل أشياء تستحي منها الأطفال.
34_v_34_2,أراها خطة تسويق ذكية جدا وبأرخص الأسعار.
35_v_35_0,حبيتها أكثر.
35_v_35_0 (1),حبيتها أكثر.
35_v_35_1,يا أخي لغة إشارة لذيذة.
35_v_35_2,جميلة جميلة.
35_v_35_3,ممتعة.
35_v_35_4,شعور جدا جميل.
35_v_35_5,من هو مبسوط.
35_v_35_6,سعاده لا توصل.
36_v_36_0,للأسف يا ما هذا التفسير اللي إحنا فسرناه على هوانا وكيفنا خلانا نمحي علاقات وللأسف هذه العلاقات كانت جميلة.
36_v_36_1,لكن بسبب ظنوننا السيئة هذه العلاقات كلها انتهت.
37_v_37_0,لكن هناك أشياء غليظة ثقيلة.
37_v_37_1,لا أعلم إذا كانت تزعجني لوحدي.
37_v_37_2,ما هذا الواجب المقيت.
37_v_37_3,إنه صعب جدا.
38_v_38_0,يشهد الله علي أن الرصيف اللي تحتي إني أحس انه مهتز.
38_v_38_1,وهذه أفرح فيها.
38_v_38_2,أيام كرون الله لاعيد على عينه ان شاء الله.
38_v_38_3,أفرح فيه عيدي.
38_v_38_4,أنه مش عيون اللي تدمه أنه قلب اللي يدمه.
38_v_38_5,إني كل ما شفته أحزن.
38_v_38_6,تقصيره مني وكيفكه.
39_v_39_0,قاعد يتمشى هنا. ه.
39_v_39_1,وضايقتني جدا.
39_v_39_2,فاستغربت أنه أخذهم مشى.
39_v_39_3,كان شي يحزن ياخ.
39_v_39_4,تطعيم بشكل عشوائي وعنيف وانتقامي.
39_v_39_5,فكانت تسبح في الدم حرفيا.
39_v_39_7,ما كانشاش كانت أمعاءه.
39_v_39_8,نفسي أنا مش نفسي أنا قبل قبل أدخل تخص.
3_v_3_0,وأنا من الناس اللي أحب استمع للمحتوى الصوتي.
3_v_3_1,فأحب استمع لمحتوى صوتي أثناء هذه الخمسة وأربعين دقيقة.
3_v_3_10,وقلت هذا كتاب الفشل.
3_v_3_11,قال لك المقارنات دائما ما تكون سيئة وسلبية على اللي قاعد يقارن.
3_v_3_12,شوي يقول أوه خليها تولي يا رجال.
3_v_3_13,فنشعر بالسوء لأننا نشعر بالسوء.
3_v_3_14,ونشعر بالذنب لأننا نشعر بالذنب.
3_v_3_15,ونغضب لأننا نغضب.
3_v_3_16,ونقلق لأننا نشعر بالقلق.
3_v_3_2,أتابع أني أستمع للكتب الصوتية ولكني لم أستطع.
3_v_3_3,إلا أني أواجه مشكلة عويصة جدا.
3_v_3_4,تجد أخطاء لغوية فادحة في النطق وما إلى ذلك.
3_v_3_5,منصه صوتيه ضخمه جدا مرتبه منظمه ومحتواها متعوب عليه وباحترافيه عاليه جدا.
3_v_3_6,تتقدم الكتب الصوتيه بجوده جدا جدا جدا عاليه.
3_v_3_7,فيها أول ثلاثه وثلاثين صفحه من كتاب فن اللامبالاه كانت صادمه.
3_v_3_8,وكانت كتاباته جدا سيئه ومؤلفاته ركيكه يا صديقي المتابع.
3_v_3_9,صديقي المتابع انا لما قريت الكلام هذا ما أعجبني أبدا.
40_v_40_0,أحزنني جدا خبر إغلاق إذاعة bbc العربية.
40_v_40_1,أجمل صوت سمعته في حياتي.
40_v_40_2,أقرأه بطريقة مذيعي لندن.
40_v_40_3,المحبة ولكنته المصرية الأنيقة.
40_v_40_4,تحقق الحلم وعملت في bbc.
40_v_40_4 (1),تحقق الحلم وعملت في bbc.
40_v_40_5,من المؤلم جدا سماع خبر إغلاق إذاعة لندن.
41_v_41_0,كانت الصورة السلبية جدا.
41_v_41_1,يقوم بالبوح ببعض الأسرار.
41_v_41_10,لكن الحياة الأسرية لا تستحق الهشاشة.
41_v_41_11,أندمت.
41_v_41_12,ما كنت أعلم أنه هو يعني على تلك الدرجة من السوء.
41_v_41_13,ولست راضيا عن نفسي.
41_v_41_14,اكتشفت إننا لا ينبغي أن أكون كذلك أبدا.
41_v_41_15,وفي محامين حقيقه نموذج سيء.
41_v_41_2,بكل أسف.
41_v_41_3,فيبوح بالخفايا والأسرار التي لا يعلمها الناس.
41_v_41_4,كانت قضية قتل.
41_v_41_5,وجد مقتولا.
41_v_41_6,قتل زوجته وأبنائه الستة.
41_v_41_7,ثم انتحر.
41_v_41_8,إنتحار، صدج إنتحار.
41_v_41_9,البيوت ليست بذات القوة.
42_v_42_1,ضيعت ناس والله.
42_v_42_2,ضيع هدشي ما بغير ورد.
43_v_43_0,مجلس نبشاتنا.
43_v_43_1,الآن ما حد يزور البفلتر.
43_v_43_2,زوجها هي كلها وجهك صار كنا واشكرت.
43_v_43_4,نخطين على أهلهم الأب والأم على كدة حالهم.
44_v_44_0,يعني ما أقدر أعطيك قمامه أقلك سوي أكل لذيذ فهمت قصدي.
44_v_44_1,تجربة ممتعة.
44_v_44_2,بالنسبة لي أكثر شيء استفدت من إخراجي أنه خلى هذا الجانب مني حي.
45_v_45_0,المريض في الطوارئ كان صاحي.
45_v_45_1,حركته كانت طبيعية جدا.
45_v_45_2,الحالة اللي فعلا أثرت فيني كثير.
45_v_45_3,كان عندها ورم معقد جدا.
45_v_45_4,صارت معها مضاعفات من العملية وتوفاها الله.
45_v_45_5,فهذه يمكن حالة البنت هذه كانت من أكثر الحالات اللي فعلا لمستني وأثرت فيها.
45_v_45_7,أم المريض تدعي له وأبوي يدعي له وأخوي يدعي له.
46_v_46_0,هذه واحده من المواقف اللي اللي فعلا أنا تأثرت فيها بشكل كبير يعني.
47_v_47_0,بكره الفاتحة أو الطالعة اللي بتبقى كده على الشارع بتوت.
47_v_47_1,واو رهيب رهيب رهيب فايد.
47_v_47_2,عايز أقول لكو إن أنا متحمسة جدا.
47_v_47_3,يعني أستغفر الله العظيم بس إيه كمية الزيت دي.
48_v_48_0,وحيد من شربه الشاي.
48_v_48_1,كونو شاكرا ممتنا إذا ما اشتركتم بالقناة وضغطتم لاهاي.
49_v_49_1,بلغت بتقاعدي تألمت من جوا.
49_v_49_2,كأنه أحد نزع قلبي وأنا حياء.
49_v_49_3,وحرمني من هذا القلب.
49_v_49_4,كأنما وضعوا لجان على فمي.
4_v_4_0,الكتاب اللي راح نشرحه في هذه السلسله هو أفضل كتاب في فن التعامل مع العلاقات الإنسانيه.
4_v_4_1,الكتاب الممتع جدا.
4_v_4_10,تخيل يا صديقي متابع هذا الكتاب باجيله سبعطعشر سنه بس ويكمل قرن.
4_v_4_11,كتاب ممتع ممتع ممتع جدا.
4_v_4_12,دقني حتستمتع.
4_v_4_13,ويالله يالله يالله خلنا نبدأ في شرح الكتاب.
4_v_4_14,الله عالسجع عسل نحل.
4_v_4_2,للمؤلف الجميل جدا.
4_v_4_3,هذا الكتاب كان منعطف في حياتي وانا متأكد انه راح يكون منعطف في حياتك.
4_v_4_4,جهز أحلى كوب قهوه أو مشروبك اللي انت تحبه.
4_v_4_5,كانت دوره ممتعه ممتعه رهيبة جدا جدا.
4_v_4_6,المميز في هذه الدوره يا صديقي المتابع.
4_v_4_7,فيكون جو الدورة كله قص وممتع.
4_v_4_8,أحسن من كون انه يكون شخص واقف لمدة ساعه قدامك ويلقي عليك كم هائل من المعلومه.
4_v_4_9,كنا نسمع قص غريبه وعجيبه جدا.
50_v_50_0,عن خيبة الأمل اللي حسيتها.
50_v_50_1,أنا ترحب أفلام جرسك بارك.
50_v_50_10,حبيت مشاهد الجم سكير.
50_v_50_11,ها الشخصية دي إن كتب طريقة إنها تكون مزعجة.
50_v_50_12,هي كانت جدا مزعجة فحتى أنا ما استمتعت بالفيلم وايد.
50_v_50_13,تحس انه أنا منزعج.
50_v_50_14,في مشاهد مخيفة.
50_v_50_15,أفلام الرعب الجسدي أفلام فيها وايد عنف فيها تقص.
50_v_50_16,أفلام شوي تكون مقززة.
50_v_50_17,وأنا صراحة كنت متحمس لهذا الفيلم.
50_v_50_18,بالنسبة للفلمتر طلع ممل.
50_v_50_19,ما استمتعت فيه.
50_v_50_2,وأحب الأفلام القديمة.
50_v_50_20,وصراحة ما حست بعامل الإبداع.
50_v_50_21,وتشوف المشاهد المقاززة.
50_v_50_22,تعبان وسيء فيلم أحمق وفيلم ينرفز.
50_v_50_23,أنا شخصيا ما أعجبني.
50_v_50_24,وتشوفها مواحي من أسوأ الأفلام اللي شفتها في عام ألفان و إثنان و عشرون.
50_v_50_25,عندنا فيلم الكارثة الكارثي الكوارثي هذا هو مونفول.
50_v_50_26,فيلم كوميدي ما يضحك مو بممتع.
50_v_50_27,معنى كيفن هارتر ممثل ترى جيد جدا في الأفلام الدرامية.
50_v_50_28,هذا الفيلم ما أعجبني.
50_v_50_29,القصة ركيكة.
50_v_50_3,أحببت جرسك ورد الأولي.
50_v_50_30,قارن ترى مخرج ممتاز.
50_v_50_31,فهل المخرج صراحة وايد عبقري أفلام ذكية.
50_v_50_32,واحد من أسوأ الأفلام اللي شفتها ها السنة.
50_v_50_33,هل الفيلم ذي ما في أي شيء زين عن الرجل.
50_v_50_34,أسوء نهاية للثلاثية الجديدة.
50_v_50_35,يعني النهاية جدا سيئة وغير منطقية.
50_v_50_36,حسيت بالذنب لشن قصفت hollowing call.
50_v_50_37,خيبة أمل كبيرة.
50_v_50_38,فلم سيء جدا.
50_v_50_39,فيلم من كثر ما هو سيء كان كوميدي.
50_v_50_4,ما أعجبني وايد.
50_v_50_40,أكثر ما هو سيء يطلع فاني ومضحك.
50_v_50_41,وأنا حبيت الأفلام القديمة كانت وايد ممتعة وايد فاين أفلام slasher.
50_v_50_5,الفيلم ذي كنت متحمس له بحذر.
50_v_50_5 (1),الفيلم ذي كنت متحمس له بحذر.
50_v_50_6,للأسف الفيلم اتبع نفس المعادلة المعتدلة.
50_v_50_7,قصة كحبكة كان جدا ركيك.
50_v_50_8,للأسف دومينيان ما كان من هدف لام دي.
50_v_50_9,كان في شيء جذاب.
51_v_51_1,فأنا محظوظ لأنني أعمل بمهنة أحبها.
51_v_51_2,قد يتكرر الروتين اليومي فأشعر بالتعب والوهن والضيق أحيانا.
51_v_51_3,تعرض بعد الولادة مباشرة لخطأ طبي.
51_v_51_4,منذ سنوات طفولته يتابع قناة الجزيرة.
51_v_51_5,وعدت سعيدا جدا إلى كمبيوتر.
52_v_52_0,وهذا أمر صراحة محزن.
52_v_52_1,أنا متحمس أيضا لإكمال كتاباتي ونشره إن شاء الله.
52_v_52_2,بكل سرور إن ملكت الوقت والموضوع المناسب، هذا شيء يسهمه.
52_v_52_3,أشكرك جدا على مرورك الطيب وهذا كلام يثلج الصدر صراحة.
52_v_52_4,سعدت بالإجابة عليها.
53_v_53_1,وأبدعت فيها وسويتها بطريقه حلوه ومبسوط كنت طبعا.
53_v_53_2,فأنا في ديك اللحظه أستغل المريض أقول له بارسلك الأيبان واستر عليك.
54_v_54_0,بالبدايه أعتذر منكم عن التأخر في الفيديو.
54_v_54_1,أريد أن أشكركم على كل تعليق كتبتموه.
54_v_54_2,وأريد أن أشكركم على دعمكم المتواصل.
54_v_54_3,فأنا فخور جدا بوجود أصدقاء لدي مثلكم.
54_v_54_4,طبعا أشكركم جدا على اهتمامكم وعلى الأسئلة التي طرحتموها لي على صفحتي على الفيسبوك.
54_v_54_5,إيه الله الإمام أخاف ه والمؤذن هناك.
54_v_54_6,وهو اعتذرت من الإمام.
54_v_54_7,وتشرف بكم جميعا.
54_v_54_8,صراحة أنا متكلف بالفسحة وأظلمها في كثير من المواقف.
55_v_55_0,يمارسه بهدف إيذاء الآخر.
56_v_56_0,في المسرح تفاجئت أنه.
56_v_56_1,كان متوفي في مشاجره.
56_v_56_10,كلها في الأفلام.
56_v_56_11,إذا أنت برأت شخص كان ممكن يتهم يعني ظلما.
56_v_56_2,وفجأة شفت.
56_v_56_3,تفاجأت فيا.
56_v_56_4,حبيت التخص.
56_v_56_5,شيء جميل إنك تشوفه من ناحية إنسانية.
56_v_56_6,له يعني رحبه مختلفه طبعا.
56_v_56_7,أكثر هاجس دائما.
56_v_56_8,نتأثر إحنا شخصيا في هيك.
56_v_56_9,لما يكون الضحية طفل دائما.
57_v_57_0,اتهمها بالدجل والنصب والاحتيال والكذب وإنها في مؤسسة مسؤولة.
57_v_57_1,حضرتك إنسانة كذابة ودجالة ونصابة.
57_v_57_2,لأنه شاف بيوم من الأيام منظر جدا مرعب.
58_v_58_0,ولحسن حظي أنها كانت جميلة وهادفة من روائع الأدب العالمي.
58_v_58_1,لن آكل.
58_v_58_2,وحرق أعصابنا في هذه المراقبة لأنها مقيتة.
58_v_58_3,ولحسن حظي أنني كبرت ولم ألحق البوكي مون والموزات والبجامات وأبطال الديجيتال.
59_v_59_0,أنا عديت بمرحلة كده لها مسميات كثيرة أزمة منتصف العمر the dark nightor the so الليلة المظلمة للنفس المهم.
59_v_59_1,كانت فترة شوية يعني صعبة.
59_v_59_10,أكلمكم في عندي عادات معينة مضايقاني وأحاول أوصلها من سنين ما أني.
59_v_59_2,كان إني أسوي أشياء جديدة أول مرة أسويها في حياتي.
59_v_59_3,لما رجعت تأكل الأكل الطبيعي صرت تستمتع فيه.
59_v_59_4,واحدة من أفضل الأوقات التي أنجزت فيها في حياتي.
59_v_59_5,وحسيت فيها براحة داخلية وسلام داخلي.
59_v_59_6,زيي زي كوب حتطلع أول شي حطلع أبغى أشوف أنه tofication.
59_v_59_7,كنت أحس نفسي مأسور.
59_v_59_8,زي المسجون يعني كأني أسير لهذه العادة.
59_v_59_9,شعور مره سيء كان.
5_v_5_0,أهلا بنات كيف حالكم؟ شو الأخبار؟ إن شاء الله تكونوا كتير مناح بفيديو اليوم اشتقت لكم قد الدنيا.
5_v_5_1,أنا كتير كتير كتير متحمسه.
5_v_5_10,كونسيلر نارز بصراحه حلو وكونسيلر لانكوم حسيتو حلو يعني.
5_v_5_2,ومبسوطة وممتنة أنه أنا صورت هذا الفيديو معاكم.
5_v_5_3,اليوم كتير متحمس.
5_v_5_4,بس بنفس الوقت كثير خايفة.
5_v_5_5,هنا حلو حبيت الشيء تبعه حسيته كثير مناسب ليلي.
5_v_5_6,كتير حبيت.
5_v_5_7,يا حبيت.
5_v_5_8,اللي الله يستر منه تبعنا.
5_v_5_9,شغلة صراحة صدمتني ما توقعتها هيك.
60_v_60_0,وبعدين تبدأ الرحلة الرائعة لكل أم.
60_v_60_1,الشغل عم يأخذ مني طاقة الأولاد عم يأخذوا مني طاقة البيت عم يأخذ مني طاقة بحيث أنا أوصل آخر النهار وأنا منتهي.
60_v_60_2,ما يصحصحوا وما يصحوا إلا بدش بارد يهز بدنهم هز لأنه لا القهوة بتصحيهم ولا كفين حتى يصحوهم.
61_v_61_0,ديخيه أفضل حارس في العالم حاليا.
61_v_61_2,أنا أشوف دخية أفضل حارس في العالم حاليا.
61_v_61_3,مع احترام الجمهور ماشستر يونايتد بس هذا الشي واضح توقعه أمام الجميع.
61_v_61_4,من بداية الموسم حتى الآن أفضل موسم في تاريخه.
61_v_61_5,دغيه أسطوري ما شاء الله تبارك الله.
61_v_61_6,فأنا أتمنى ما أحد يعترض على هذا الشيء.
62_v_62_0,أنا بابا اتوفى أنا كنت في المدينه هذا أول.
62_v_62_3,يعني لسه زعلان عشان الشيء هذا يعني.
63_v_63_0,واحد من أساطير الاجتهلات الدينية تاريخيا.
63_v_63_1,هذه السيدة غريبة جدا.
63_v_63_2,كان عبقري في الأدب عبقري في السيناريو عبقري.
63_v_63_3,كان صوتها غريب قوي.
63_v_63_4,الأغنية دي كانت بتبكينا يعني.
63_v_63_5,فإحساسها فوق مستوى العقل.
63_v_63_6,أقوى وأعظم وأحلى أغنية من أغاني أكتوبر.
63_v_63_7,المقرئ الأسطوري أحمد ندا.
64_v_64_0,موسم أول ممتاز.
64_v_64_1,بداية متميزة للمسلسلات في عام ألفان و ثلاث و عشرون.
66_v_66_0,أفضل تصوير سينمائي أتوقعه الكويت.
66_v_66_1,جائزة أفضل ممثل رئيسي توقع توقع أوستن بتلر وأداء خرافي.
66_v_66_3,أفضل ممثله رئيسيه أتوقع كيت بلانشيت وأتمناه لكيت بلانشيت.
66_v_66_4,أفضل ممثلة مساعده أتوقع جيمي لي.
66_v_66_5,أدت دور الممرضه بشكل وايد حلو.
66_v_66_6,لأن الميكب اللي فيه مو طبيعي.
66_v_66_7,أنا حبيت فيلم the fable mens.
66_v_66_8,فيلم مهرجاني بحت اللي ما شافه لازم لازم لازم تشوفه، هذا أول فيلم لازم تشوفه.
67_v_67_0,مبهر عبد الرحمن أبو مالك كيف يأخذنا بعصر السرعة بحوار يصل لساعتين ومرات كمان لثلاث ساعات.
67_v_67_1,أقرب حلقة لقلبي في هذا البوت كاس مع معالي محمد القرقاوي.
67_v_67_2,مبدع قلبا وقالبا وهذا الشيء ينعكس على البوتكاس تبعه.
67_v_67_3,تحليل رائع جدا للكتب ممكن.
67_v_67_4,أوت كاس لطيف جدا من إنتاج حكواتي.
68_v_68_1,رددي أبدا باستلهام أفكارك من أي شي حولك.
69_v_69_0,مع كامل الأسف يا صديقي العسل مع كامل الأسف.
69_v_69_1,لازم جولاتي تتقطع لازم.
69_v_69_11,ولكن الحمد لله إني وجدت واحد منهم.
69_v_69_12,أنا أعشق اليوتيوب يا شباب.
69_v_69_13,لأني كنت من الناس اللي موت من يوتيوب أحب اليوتيوب.
69_v_69_14,طبعا أوكي في ناس كثير فهموا الشغل غلط وحوا مكبودنا فيه.
69_v_69_2,والله العظيم بتنسمون.
69_v_69_3,وأعشق السله كثير.
69_v_69_4,الرحلة ذاتها ممتعة.
69_v_69_5,ممر فخم كبير.
69_v_69_7,الحمد لله.
69_v_69_8,فعلا هذا هو الشيء اللي أنا أبغى أسويه.
69_v_69_9,صناعة المحتوى هذا الشي اللي أنا أحبه.
69_v_69_10,اللي لها فضل كبير جدا.
6_v_6_0,السلام عليكم سيداتي سادتي.
6_v_6_1,أساطير في الساحة.
6_v_6_2,المغني الأسطوري.
6_v_6_3,هاي آه وت.
6_v_6_4,أنا مرة معجب في شخصية ساسكي في ب انيمي بورتو.
6_v_6_5,يا اخي صار ناضج صار ذكي وصار يعرف يستخدم قدرة الأوشي ها.
6_v_6_6,صاير فخم يخرب بيته في القتالات صح.
6_v_6_7,أنا تبي تحط زبالة يا زبالة.
6_v_6_8,أسطوري أسطوري طبعا أسطوري.
6_v_6_9,خالتي واش عقل.
70_v_70_0,الشغف أحد أقوى وأعمق أسرار الحياه.
70_v_70_1,جهز قهوتك يا صديقي العسل أو مشروبك اللذيذ.
70_v_70_12,تبدأ تمل.
70_v_70_13,تبدأ تفقد هذا الدافع فيها ما عاد تبغى ماشي مع خلاص الوجبه مع.
70_v_70_14,اللي يتعود على أكل المطاعم يصير الأكل الصحي بالنسبه له.
