name,sentence
61_v_61_1,أنا أشوف دخية أفضل حارس في العالم حاليا.
27_v_27_2,مشوقة ومليئة بالخيال.
4_v_4_8,أحسن من كون انه يكون شخص واقف لمدة ساعه قدامك ويلقي عليك كم هائل من المعلومه.
2_v_2_7,طبعا هذا جانب جدا جدا جدا إيجابي في الأردن.
24_v_24_4,هل يوجد من البشر من يقرأ هذا.
35_v_35_4,شعور جدا جميل.
69_v_69_8,صناعة المحتوى هذا الشي اللي أنا أحبه.
35_v_35_6,سعاده لا توصل.
26_v_26_1,كأن في طريق حياة انفجرت قنبلة.
45_v_45_4,صارت معها مضاعفات من العملية وتوفاها الله.
35_v_35_0,حبيتها أكثر.
50_v_50_15,أفلام الرعب الجسدي أفلام فيها وايد عنف فيها تقص.
71_v_71_0,أنا أعاني من مشكلة.
4_v_4_2,للمؤلف الجميل جدا.
19_v_19_6,قدم الثنائية والأروع.
31_v_31_1,نعم.
3_v_3_1,فأحب استمع لمحتوى صوتي أثناء هذه الخمسة وأربعين دقيقة.
1_v_1_5,حابة شكل إيدي كده أكتر من لما أكون.
50_v_50_35,يعني النهاية جدا سيئة وغير منطقية.
23_v_23_0,السيد المسيح كان في فلسطين وليس في السويد والنرويج.
2_v_2_5,يا الله. والله الكلمه جدا عميقه.
25_v_25_4,فأصبح في نوع من الصمت بيننا.
41_v_41_15,وفي محامين حقيقه نموذج سيء.
37_v_37_2,ما هذا الواجب المقيت.
24_v_24_0,أنا شخصيا لا أحب تويتر.
17_v_17_4,أستطيع أني أبدأ بها جديد.
10_v_10_5,من أكثر الناس نجاحا.
14_v_14_2,يد الفضايح كفضيحة يا مولاي.
70_v_70_15,تسمى مدمن أدقت.
3_v_3_10,وقلت هذا كتاب الفشل.
39_v_39_4,تطعيم بشكل عشوائي وعنيف وانتقامي.
3_v_3_16,ونقلق لأننا نشعر بالقلق.
4_v_4_13,ويالله يالله يالله خلنا نبدأ في شرح الكتاب.
30_v_30_0,قهوة لا ه.
26_v_26_3,طلعت حزينه طلعت مرتبكه.
70_v_70_12,اللي يتعود على أكل المطاعم يصير الأكل الصحي بالنسبه له.
28_v_28_2,أروح البيت أضحك مع عيالي.
1_v_1_1,الجو النهارده مش طبيعي إزاي حلو.
50_v_50_25,عندنا فيلم الكارثة الكارثي الكوارثي هذا هو مونفول.
3_v_3_3,إلا أني أواجه مشكلة عويصة جدا.
2_v_2_8,الحمد لله على كل حال.
6_v_6_3,هاي آه وت.
19_v_19_9,مخيف.
70_v_70_5,هذا دمجت الكلمتين هذه وطلعت لك بكلمة دوبامي كافي.
63_v_63_6,أقوى وأعظم وأحلى أغنية من أغاني أكتوبر.
29_v_29_2 (1),المرضى بعد العمليات يعني جدا يكونوا مبسوطين.
39_v_39_2,فاستغربت أنه أخذهم مشى.
72_v_72_7,عمر بن الخطاب الرجل الجبار جدا رجل لا يلين لأحد.
4_v_4_7,فيكون جو الدورة كله قص وممتع.
41_v_41_6,قتل زوجته وأبنائه الستة.
41_v_41_1,يقوم بالبوح ببعض الأسرار.
72_v_72_5,قصه عجيبه عظيمه جدا وتلامس القلب تلامس قلبي وقلبك قصه جميله.
4_v_4_11,كتاب ممتع ممتع ممتع جدا.
18_v_18_1,أنا شايفة أن عنوان الرواية كان عبقري جدا.
50_v_50_5 (1),الفيلم ذي كنت متحمس له بحذر.
11_v_11_4,والبطاطس الله الله أصلا شوف كيف البطاطس.
69_v_69_12,لأني كنت من الناس اللي موت من يوتيوب أحب اليوتيوب.
13_v_13_1,يبرع في المديح.
66_v_66_4,أدت دور الممرضه بشكل وايد حلو.
23_v_23_1,يغرقون في حب ثقافة هذا البلد.
50_v_50_23,أنا شخصيا ما أعجبني.
1_v_1_0,البيب قات كان هيو أف جويز.
11_v_11_0,هذا كل حاجه فيه حلوه.
1_v_1_2,متحمسة جدا.
45_v_45_3,كان عندها ورم معقد جدا.
3_v_3_11,قال لك المقارنات دائما ما تكون سيئة وسلبية على اللي قاعد يقارن.
69_v_69_11,أنا أعشق اليوتيوب يا شباب.
50_v_50_24,وتشوفها مواحي من أسوأ الأفلام اللي شفتها في عام ألفان و إثنان و عشرون.
56_v_56_11,إذا أنت برأت شخص كان ممكن يتهم يعني ظلما.
61_v_61_5,"فأنا أتمنى ما أحد. 
 
يعترض على هذا الشيء."
63_v_63_4,الأغنية دي كانت بتبكينا يعني.
35_v_35_5,من هو مبسوط.
42_v_42_0,ضيعت ناس والله.
13_v_13_0,له قوة في التعبير هائلة.
9_v_9_7,بس زعلوني الصاله شوفوا كيف التغريف.
50_v_50_5,الفيلم ذي كنت متحمس له بحذر.
1_v_1_4,"[00:00:00.380]  Speaker-1
كوبايز بجد من أحلى الأماكن اللي بيعملوا الشوكين تندرز حلوة جدا."
40_v_40_4,تحقق الحلم وعملت في bbc.
9_v_9_4,أنا ببقي من حلاوة الطعم.
50_v_50_30,قارن ترى مخرج ممتاز.
13_v_13_2,رمي على دفة حتى التقطه بعض أهل البصرة ودفنوه.
56_v_56_1,كان متوفي في مشاجره.
50_v_50_14,في مشاهد مخيفة.
70_v_70_1,جهز قهوتك يا صديقي العسل أو مشروبك اللذيذ.
15_v_15_0,مجموعة من المغالطات التي لا أكاد أحصيها وأعدها.
22_v_22_1,لأنها حرفيا غيرت حياتي بإذن الله.
50_v_50_26,فيلم كوميدي ما يضحك مو بممتع.
54_v_54_8,صراحة أنا متكلف بالفسحة وأظلمها في كثير من المواقف.
46_v_46_0 (1),هذه واحده من المواقف اللي اللي فعلا أنا تأثرت فيها بشكل كبير يعني.
56_v_56_6,له يعني رحبه مختلفه طبعا.
50_v_50_32,واحد من أسوأ الأفلام اللي شفتها ها السنة.
71_v_71_1,أنا أعاني من إطلاق البصر.
50_v_50_37,خيبة أمل كبيرة.
25_v_25_1,أصبح التواصل بين الناس تواصل الحوار الأخذ والعطاء والسوالف وكذا ما في.
69_v_69_0,مع كامل الأسف يا صديقي العسل مع كامل الأسف.
8_v_8_4,لوفي الأول في كل شيء.
3_v_3_4,تجد أخطاء لغوية فادحة في النطق وما إلى ذلك.
17_v_17_3,خليهم يضحكون معي ولا باكن علي.
45_v_45_2,الحالة اللي فعلا أثرت فيني كثير.
50_v_50_22,تعبان وسيء فيلم أحمق وفيلم ينرفز.
43_v_43_1,الآن ما حد يزور البفلتر.
19_v_19_5,تعليقات ساخرة كوميديه عجيبة.
25_v_25_6,أكثر الحالات اللي تؤلمني أنا حقيقة لما.
67_v_67_3,تحليل رائع جدا للكتب ممكن.
47_v_47_2,عايز أقول لكو إن أنا متحمسة جدا.
67_v_67_1,أقرب حلقة لقلبي في هذا البوت كاس مع معالي محمد القرقاوي.
52_v_52_2,بكل سرور إن ملكت الوقت والموضوع المناسب، هذا شيء يسهمه.
28_v_28_0,هي ما تتحمل أو ما تقدر تأكل مثلا فتره معينه.
40_v_40_1,أجمل صوت سمعته في حياتي.
4_v_4_14,الله عالسجع عسل نحل.
59_v_59_2,كان إني أسوي أشياء جديدة أول مرة أسويها في حياتي.
51_v_51_0,فأنا محظوظ لأنني أعمل بمهنة أحبها.
14_v_14_0,وأنا في شدة الرعب لأن أتعلم.
19_v_19_4,يا رباه على الحوار والكلمات المستخدمه فيه.
36_v_36_0,للأسف يا ما هذا التفسير اللي إحنا فسرناه على هوانا وكيفنا خلانا نمحي علاقات وللأسف هذه العلاقات كانت جميلة.
45_v_45_1,حركته كانت طبيعية جدا.
69_v_69_9,اللي لها فضل كبير جدا.
30_v_30_2,أنا دخلت عن حب أنا حبيت نضيف تضيف جو.
58_v_58_0,ولحسن حظي أنها كانت جميلة وهادفة من روائع الأدب العالمي.
41_v_41_3,فيبوح بالخفايا والأسرار التي لا يعلمها الناس.
3_v_3_9,صديقي المتابع انا لما قريت الكلام هذا ما أعجبني أبدا.
17_v_17_2,لو فتحت هم يتكلمت يعني بنضرب.
66_v_66_3,أفضل ممثلة مساعده أتوقع جيمي لي.
51_v_51_3,منذ سنوات طفولته يتابع قناة الجزيرة.
70_v_70_9,إذا شفت وجبه معينه في مطعم معين تطيح فيها لين تبدأ تمل.
43_v_43_3,نخطين على أهلهم الأب والأم على كدة حالهم.
47_v_47_3,يعني أستغفر الله العظيم بس إيه كمية الزيت دي.
52_v_52_3,أشكرك جدا على مرورك الطيب وهذا كلام يثلج الصدر صراحة.
41_v_41_9,البيوت ليست بذات القوة.
66_v_66_6,أنا حبيت فيلم the fable mens.
3_v_3_2,أتابع أني أستمع للكتب الصوتية ولكني لم أستطع.
19_v_19_13,أنا ما حسيت بلحظة ملل من البدايه للأخير.
20_v_20_0,إلا وهي اجلس لي.
29_v_29_1,إحساس مخيف تماما.
24_v_24_2,وكلام كله بهذه السطحية.
11_v_11_3,دجاج مبهر بالطريق هنا. والله مره حلو.
69_v_69_5,ممر فخم كبير.
19_v_19_11,كل تعليقاته فلسفية وساحرة.
22_v_22_4,يا ربي نحمدك وشكرا.
59_v_59_5,وحسيت فيها براحة داخلية وسلام داخلي.
38_v_38_3,أفرح فيه عيدي.
67_v_67_0,مبهر عبد الرحمن أبو مالك كيف يأخذنا بعصر السرعة بحوار يصل لساعتين ومرات كمان لثلاث ساعات.
52_v_52_4,سعدت بالإجابة عليها.
71_v_71_3,ترى إحنا مقصرين في صلاتنا وما ناويين نستوعب هذه النقاط.
11_v_11_9,من أحلى المطاعم اللي تأكل منها.
31_v_31_2,بطاقه ما شاء الله.
50_v_50_7,قصة كحبكة كان جدا ركيك.
67_v_67_4,أوت كاس لطيف جدا من إنتاج حكواتي.
32_v_32_3,فكانت حتى الأسلوب كان صراحه مستفز جدا.
44_v_44_1,تجربة ممتعة.
50_v_50_29,القصة ركيكة.
41_v_41_4,كانت قضية قتل.
34_v_34_1,رأيت كهولا على تكتك والله تفعل أشياء تستحي منها الأطفال.
70_v_70_13,حلوين يا ناصر، صدعت راسنا بالدبمين.
19_v_19_1,أنه كان في حاجة غامضة في حاجة مثيرة ومشوقة ومختلفة.
31_v_31_0,تقريبا أصعب شيء ممكن يحدث هو انتحار المريض.
37_v_37_3,إنه صعب جدا.
39_v_39_3,كان شي يحزن ياخ.
35_v_35_0 (1),حبيتها أكثر.
51_v_51_4,وعدت سعيدا جدا إلى كمبيوتر.
22_v_22_0,أنه منصة اليوتيوب من أحسن المنصات.
17_v_17_6,أنا خفت أنا أول مرة أشوف شخص يتأتئ بهذه الشدة هذه.
28_v_28_5,لا يؤمن هذا ما أن شاء.
50_v_50_28,هذا الفيلم ما أعجبني.
50_v_50_6,للأسف الفيلم اتبع نفس المعادلة المعتدلة.
17_v_17_0,يصتني بكف.
52_v_52_1,أنا متحمس أيضا لإكمال كتاباتي ونشره إن شاء الله.
6_v_6_1,أساطير في الساحة.
61_v_61_2,مع احترام الجمهور ماشستر يونايتد بس هذا الشي واضح توقعه أمام الجميع.
12_v_12_0,يشعرني بالسعادة.
21_v_21_2,آه ويقولوا لي كلام يعني مو زين.
17_v_17_9,الوالد شوي تعبان.
54_v_54_5,إيه الله الإمام أخاف ه والمؤذن هناك.
41_v_41_12,ما كنت أعلم أنه هو يعني على تلك الدرجة من السوء.
25_v_25_0,ما في شك أن الحياة المعاصرة الآن أثرت كثيرا.
30_v_30_4,بس انت لازم تتعامل مع الحاله اللي قدامك.
12_v_12_4,قدم أداء حرفيا خرافي.
45_v_45_5,فهذه يمكن حالة البنت هذه كانت من أكثر الحالات اللي فعلا لمستني وأثرت فيها.
60_v_60_1,الشغل عم يأخذ مني طاقة الأولاد عم يأخذوا مني طاقة البيت عم يأخذ مني طاقة بحيث أنا أوصل آخر النهار وأنا منتهي.
56_v_56_7,أكثر هاجس دائما.
5_v_5_1,أنا كتير كتير كتير متحمسه.
5_v_5_3,اليوم كتير متحمس.
25_v_25_7,ومصاب بحالة أنا أعرف أن الحالة هذه من الحالات المزمنة السيئة.
33_v_33_0,يعني هذا أسوأ شيء فيها أنه غالب يومك تلقاك على اللعبة.
50_v_50_27,معنى كيفن هارتر ممثل ترى جيد جدا في الأفلام الدرامية.
8_v_8_3,أقسم بالله لا أخرج.
50_v_50_17,وأنا صراحة كنت متحمس لهذا الفيلم.
37_v_37_0,لكن هناك أشياء غليظة ثقيلة.
16_v_16_1,يغرقون في حب ثقافة هذا البلد.
35_v_35_2,جميلة جميلة.
4_v_4_9,كنا نسمع قص غريبه وعجيبه جدا.
9_v_9_1,وربي بالربح مسكين من الحافظ بالأرض.
27_v_27_0,أرض غريبة عجيبة.
4_v_4_0,الكتاب اللي راح نشرحه في هذه السلسله هو أفضل كتاب في فن التعامل مع العلاقات الإنسانيه.
45_v_45_6,أم المريض تدعي له وأبوي يدعي له وأخوي يدعي له.
29_v_29_2,المرضى بعد العمليات يعني جدا يكونوا مبسوطين.
26_v_26_2,أنت مفصولة.
63_v_63_3,كان صوتها غريب قوي.
64_v_64_1,بداية متميزة للمسلسلات في عام ألفان و ثلاث و عشرون.
53_v_53_0,وأبدعت فيها وسويتها بطريقه حلوه ومبسوط كنت طبعا.
2_v_2_3,أنا عن نفسي ارتحت.
9_v_9_5,ها إبداع والله يبدع.
63_v_63_2,كان عبقري في الأدب عبقري في السيناريو عبقري.
20_v_20_2,أنا أدعوك إلى إعادة.
16_v_16_0,السيد المسيح كان في فلسطين وليس في السويد والنرويج.
9_v_9_0,شكرا على تفاعلكم في المقطع الماضي.
41_v_41_0,كانت الصورة السلبية جدا.
10_v_10_0,والحمد لله.
40_v_40_0,أحزنني جدا خبر إغلاق إذاعة bbc العربية.
62_v_62_1,يعني لسه زعلان عشان الشيء هذا يعني.
69_v_69_1,لازم جولاتي تتقطع لازم.
8_v_8_0,أنا والله أشوف أسطوري حرام عليك معلش.
54_v_54_1,أريد أن أشكركم على كل تعليق كتبتموه.
41_v_41_8,إنتحار، صدج إنتحار.
2_v_2_0,الله الله الله الله والله كلام حقيقي.
5_v_5_4,بس بنفس الوقت كثير خايفة.
46_v_46_0,هذه واحده من المواقف اللي اللي فعلا أنا تأثرت فيها بشكل كبير يعني.
11_v_11_7,والله ما فهمت ولا شي بس شكله مستمتع.
49_v_49_1,كأنه أحد نزع قلبي وأنا حياء.
10_v_10_3,قال لي كلام كان ثقيل على صدري للأمانة.
47_v_47_1,واو رهيب رهيب رهيب فايد.
5_v_5_8,اللي الله يستر منه تبعنا.
8_v_8_1,أعشق ذا الشخصيه أنا اتكلم عن الحب.
39_v_39_5,فكانت تسبح في الدم حرفيا.
3_v_3_7,فيها أول ثلاثه وثلاثين صفحه من كتاب فن اللامبالاه كانت صادمه.
55_v_55_0,يمارسه بهدف إيذاء الآخر.
19_v_19_14,حبيت الفيلم جدا.
51_v_51_2,تعرض بعد الولادة مباشرة لخطأ طبي.
69_v_69_10,ولكن الحمد لله إني وجدت واحد منهم.
63_v_63_5,فإحساسها فوق مستوى العقل.
42_v_42_1,ضيع هدشي ما بغير ورد.
19_v_19_12,الجو الحام للفيلم يا جماعه كان ممتع.
2_v_2_1,أعشق المدرسه.
66_v_66_0,أفضل تصوير سينمائي أتوقعه الكويت.
21_v_21_0,أصابتني رهبة شديدة.
5_v_5_2,ومبسوطة وممتنة أنه أنا صورت هذا الفيديو معاكم.
9_v_9_2,أنا آسف المهم ه.
50_v_50_33,هل الفيلم ذي ما في أي شيء زين عن الرجل.
3_v_3_5,منصه صوتيه ضخمه جدا مرتبه منظمه ومحتواها متعوب عليه وباحترافيه عاليه جدا.
23_v_23_2,الشعوب المهزوزة ثقافيا وتاريخيا.
29_v_29_3,إن اللهم لك الحمد والشكر.
50_v_50_39,فيلم من كثر ما هو سيء كان كوميدي.
4_v_4_4,جهز أحلى كوب قهوه أو مشروبك اللي انت تحبه.
59_v_59_4,واحدة من أفضل الأوقات التي أنجزت فيها في حياتي.
49_v_49_2,وحرمني من هذا القلب.
40_v_40_3,المحبة ولكنته المصرية الأنيقة.
38_v_38_6,تقصيره مني وكيفكه.
40_v_40_5,من المؤلم جدا سماع خبر إغلاق إذاعة لندن.
50_v_50_40,أكثر ما هو سيء يطلع فاني ومضحك.
59_v_59_6,زيي زي كوب حتطلع أول شي حطلع أبغى أشوف أنه tofication.
70_v_70_8,هو الدافع والمحفز والمنشط وهو السر وراء كل عمل انت تسويه وشقاء وتعب انت تمر فيه عشان في النهايه تحصل على المكان.
50_v_50_20,وصراحة ما حست بعامل الإبداع.
3_v_3_0,وأنا من الناس اللي أحب استمع للمحتوى الصوتي.
52_v_52_0,وهذا أمر صراحة محزن.
54_v_54_3,فأنا فخور جدا بوجود أصدقاء لدي مثلكم.
27_v_27_1,برواية رائعة جدا جدا.
25_v_25_1 (1),أصبح التواصل بين الناس تواصل الحوار الأخذ والعطاء والسوالف وكذا ما في.
72_v_72_6,عمر بن الخطاب الإنسان الجبار الذي يضرب في غير حق.
39_v_39_7,نفسي أنا مش نفسي أنا قبل قبل أدخل تخص.
41_v_41_14,اكتشفت إننا لا ينبغي أن أكون كذلك أبدا.
51_v_51_1,قد يتكرر الروتين اليومي فأشعر بالتعب والوهن والضيق أحيانا.
50_v_50_16,أفلام شوي تكون مقززة.
19_v_19_0,هذا الفيلم من الأفلام اللي كنت ننتظرها.
41_v_41_5,وجد مقتولا.
17_v_17_5,لحد رجعت لي أقوى.
2_v_2_9,وبرودي العجيب جدا كان مريحني كنت جدا مبسوط.
22_v_22_2,من أجمل الآيات اللي نسمعهم بالذات في هذه الصورة.
69_v_69_13,طبعا أوكي في ناس كثير فهموا الشغل غلط وحوا مكبودنا فيه.
15_v_15_1,هذه سياسة دولة لا هي سياسة لا شخص ولا شخصين.
57_v_57_1,حضرتك إنسانة كذابة ودجالة ونصابة.
70_v_70_6,التوفا مين يا صديقي المتابع من كثر ما هو قوي ومؤثر لو.
56_v_56_9,لما يكون الضحية طفل دائما.
19_v_19_3,عبارة عن تجربة فريدة بمعنى الكلمة.
10_v_10_1,أنا كنت أعاني من مشاكل.
50_v_50_41,وأنا حبيت الأفلام القديمة كانت وايد ممتعة وايد فاين أفلام slasher.
28_v_28_1,فبدايتها تكون صعبه طبعا.
49_v_49_3,كأنما وضعوا لجان على فمي.
5_v_5_0,أهلا بنات كيف حالكم؟ شو الأخبار؟ إن شاء الله تكونوا كتير مناح بفيديو اليوم اشتقت لكم قد الدنيا.
61_v_61_0,ديخيه أفضل حارس في العالم حاليا.
45_v_45_0,المريض في الطوارئ كان صاحي.
57_v_57_0,اتهمها بالدجل والنصب والاحتيال والكذب وإنها في مؤسسة مسؤولة.
71_v_71_2,وللأمانه، هذا الإطلاق للبصر أنهكني وأتعبني.
69_v_69_4,الرحلة ذاتها ممتعة.
56_v_56_4,حبيت التخص.
30_v_30_3,صرت مرشد سياحي.
50_v_50_21,وتشوف المشاهد المقاززة.
66_v_66_1,جائزة أفضل ممثل رئيسي توقع توقع أوستن بتلر وأداء خرافي.
67_v_67_2,مبدع قلبا وقالبا وهذا الشيء ينعكس على البوتكاس تبعه.
50_v_50_31,فهل المخرج صراحة وايد عبقري أفلام ذكية.
6_v_6_0,السلام عليكم سيداتي سادتي.
5_v_5_6,كتير حبيت.
72_v_72_11,هذه الآية عظيمة جدا من ناحية التأكيد.
59_v_59_1,كانت فترة شوية يعني صعبة.
6_v_6_2,المغني الأسطوري.
72_v_72_4,مو بس مسلم صار مؤمن ومحسن وصار من كبار وخير خير الصحابة.
3_v_3_13,فنشعر بالسوء لأننا نشعر بالسوء.
39_v_39_6,ما كانشاش كانت أمعاءه.
28_v_28_4 (1),والثانية في المستشفى توفى.
31_v_31_3,البلدية هتردي من.
3_v_3_6,تتقدم الكتب الصوتيه بجوده جدا جدا جدا عاليه.
58_v_58_2,وحرق أعصابنا في هذه المراقبة لأنها مقيتة.
8_v_8_2,في هذه الحلقة.
71_v_71_5,"وهو الوحيد المستحق للمحبه الخالصة. 
 
جدا."
59_v_59_9,شعور مره سيء كان.
43_v_43_0,مجلس نبشاتنا.
72_v_72_12,يعني هذا الحديث حديث عظيم جدا.
11_v_11_5,شوف هذا أنا قصة عشق مع الله يعشق.
50_v_50_10,حبيت مشاهد الجم سكير.
70_v_70_2,السلام عليكم ورحمة الله وبركاته، أهلا بك يا صديقي المتابع في قناة دوبها مي كافين.
72_v_72_8,تعاني من أمر معصي المعصي هذه أرقتك وأهلكتك وأثقلت كاهلك.
59_v_59_0,أنا عديت بمرحلة كده لها مسميات كثيرة أزمة منتصف العمر the dark nightor the so الليلة المظلمة للنفس المهم.
54_v_54_6,وهو اعتذرت من الإمام.
49_v_49_0,بلغت بتقاعدي تألمت من جوا.
35_v_35_1,يا أخي لغة إشارة لذيذة.
39_v_39_0,قاعد يتمشى هنا. ه.
6_v_6_6,صاير فخم يخرب بيته في القتالات صح.
72_v_72_2,لها صوره ذهنيه في عقولنا هي صوره ورديه والصوره الجميله جدا عن التوبه.
50_v_50_9,كان في شيء جذاب.
32_v_32_1,رجعت حزين جدا لمدة عام.
15_v_15_2,قرأنا بعض الترهات في الصحافة المغربية للأسف الشديد.
34_v_34_0,لكني تفاجئت بالضجة التي رافقت الملتقى وحجم السخط الذي رافق الملتقى أحيانا.
35_v_35_3,ممتعة.
50_v_50_34,أسوء نهاية للثلاثية الجديدة.
19_v_19_2,التريال عجبني لكن لو ما شفته للآن لا تشوف.
19_v_19_15,إن حبيت التفاصيل اللي رح لحقت.
69_v_69_7,فعلا هذا هو الشيء اللي أنا أبغى أسويه.
58_v_58_1,لن آكل.
14_v_14_5,يا الله يعني إيه لله أفرحه بثوبة عبده المؤمن.
71_v_71_6,وهذه المحبه ستبث في روحك ستبث في أعضائك ستبث في حياتك ستبث حتى في الهواء اللي تستنشقه.
61_v_61_3,من بداية الموسم حتى الآن أفضل موسم في تاريخه.
19_v_19_7,كان بطل الفيلم بكل جدارة.
48_v_48_0,وحيد من شربه الشاي.
10_v_10_2,ما لقيتها للأمانة.
50_v_50_36,حسيت بالذنب لشن قصفت hollowing call.
5_v_5_10,كونسيلر نارز بصراحه حلو وكونسيلر لانكوم حسيتو حلو يعني.
72_v_72_1,هذه أول مشكله نعاني منها في عدم التعرف على الله سبحانه وتعالى.
10_v_10_6,فكان شوي موضوعي زائل.
50_v_50_0,عن خيبة الأمل اللي حسيتها.
9_v_9_6,خدمة المطعم سيئه.
11_v_11_6,هم فخم والله فخم.
50_v_50_38,فلم سيء جدا.
56_v_56_10,كلها في الأفلام.
8_v_8_5,شوف أفضل شرير وأفضل سياف وأفضل بطل وأفضل.
19_v_19_8,يا رباه على التمثيل وعشيه المختلف اللي اعطانا ياه.
41_v_41_11,أندمت.
34_v_34_2,أراها خطة تسويق ذكية جدا وبأرخص الأسعار.
25_v_25_8,مولم حقي.
25_v_25_10,أنتم لكم الفض علينا.
15_v_15_3,توهمات.
19_v_19_10,وأكثر التعليقات اللي ضحكتني شخصيا.
56_v_56_8,نتأثر إحنا شخصيا في هيك.
41_v_41_10,لكن الحياة الأسرية لا تستحق الهشاشة.
